"","income","scenario_adopt","scenario_sharing","strategy_short","total_energy_annual_demand_kwh","total_demand_carbon_tonnes","total_nitrogen_oxide_tonnes","total_sulpher_dioxide_tonnes","total_pm10_tonnes"
"95","LMIC","low","SRN","5G (F)",6699390736.32,437920.46928016,132.203311703324,11941.2940439242,8694.47099091179
"96","LMIC","low","SRN","5G (W)",7596396515.52,499352.56102125,149.892699213856,13527.7668722387,9818.22965908054
"97","UMIC","baseline","Baseline","4G (F)",23503384497.6,1223348.66376031,384.846862908658,32743.8322628052,18153.0219817991
"98","UMIC","baseline","Baseline","4G (W)",28280596536,1463822.68120058,460.928300539179,39107.0238696155,21353.6951533198
"99","UMIC","baseline","Baseline","5G (F)",14113652345.28,787104.100430985,247.604236928325,21873.2873843935,14524.7800777436
"100","UMIC","baseline","Baseline","5G (W)",14766418111.68,815470.756207749,255.931284745151,22565.6589604653,14857.4603993644
"101","UMIC","baseline","Passive","4G (F)",23503384497.6,1223348.66376031,384.846862908658,32743.8322628052,18153.0219817991
"102","UMIC","baseline","Passive","4G (W)",28280596536,1463822.68120058,460.928300539179,39107.0238696155,21353.6951533198
"103","UMIC","baseline","Passive","5G (F)",14113652345.28,787104.100430985,247.604236928325,21873.2873843935,14524.7800777436
"104","UMIC","baseline","Passive","5G (W)",14766418111.68,815470.756207749,255.931284745151,22565.6589604653,14857.4603993644
"105","UMIC","baseline","Active","4G (F)",14219346510.72,735184.088709323,236.011941705571,19790.4145308445,10123.4476097786
"106","UMIC","baseline","Active","4G (W)",17369923259.52,895639.119939464,287.713963247129,24082.5669520475,12189.0562093351
"107","UMIC","baseline","Active","5G (F)",11010358572.48,614496.790476048,192.583353568099,16992.6046469648,11225.8818362669
"108","UMIC","baseline","Active","5G (W)",12243290028.48,676514.85357659,212.190189748873,18629.1008327521,12038.9536146118
"109","UMIC","baseline","SRN","4G (F)",17655514957.44,885508.863652789,277.759572079563,23249.7169084842,11745.4055457243
"110","UMIC","baseline","SRN","4G (W)",21608489485.44,1080264.81502255,339.017017200693,28335.6418116612,14188.7916626499
"111","UMIC","baseline","SRN","5G (F)",14107265674.56,786781.089625356,247.505275019727,21865.0553918588,14520.7779552099
"112","UMIC","baseline","SRN","5G (W)",15447966154.56,852369.217437745,268.339133483986,23607.4101980505,15395.9725188679
"113","UMIC","high","Baseline","4G (F)",33948836809.92,1807918.00558519,568.877325599807,48748.9465099817,28068.4438527155
"114","UMIC","high","Baseline","4G (W)",40331668547.52,2133921.17111785,672.313760451703,57396.6122599909,32410.9416110697
"115","UMIC","high","Baseline","5G (F)",17256417837.12,958495.907057685,300.936425754858,26501.455738235,17359.8455160309
"116","UMIC","high","Baseline","5G (W)",18642046605.12,1025188.52367551,320.688084169626,28167.2029981154,18235.1704094175
"117","UMIC","high","Passive","4G (F)",33948836809.92,1807918.00558519,568.877325599807,48748.9465099817,28068.4438527155
"118","UMIC","high","Passive","4G (W)",40331668547.52,2133921.17111785,672.313760451703,57396.6122599909,32410.9416110697
"119","UMIC","high","Passive","5G (F)",17256417837.12,958495.907057685,300.936425754858,26501.455738235,17359.8455160309
"120","UMIC","high","Passive","5G (W)",18642046605.12,1025188.52367551,320.688084169626,28167.2029981154,18235.1704094175
"121","UMIC","high","Active","4G (F)",19988499461.76,1046414.89324096,334.365401976624,28193.5187010114,14891.0055630341
"122","UMIC","high","Active","4G (W)",24751423589.76,1295368.64887149,413.919725357432,34894.0651579569,18407.7969793113
"123","UMIC","high","Active","5G (F)",13280540814.72,744343.635972353,233.330266588393,20570.7570439554,13542.6493081569
"124","UMIC","high","Active","5G (W)",14814826081.92,822638.099595644,258.162394109951,22645.3680875296,14580.0506804965
"125","UMIC","high","SRN","4G (F)",23424667908.48,1196739.66818443,376.113032350616,31652.821078651,16512.9634989798
"126","UMIC","high","SRN","4G (W)",28989989815.68,1479994.34395458,465.222779310997,39147.1400175706,20407.532432626
"127","UMIC","high","SRN","5G (F)",17248146575.04,958065.996571708,300.796506566181,26489.581746695,17353.3457453557
"128","UMIC","high","SRN","5G (W)",19112336245.44,1052270.88304804,330.30200567319,28954.9284203471,18585.945334736
"129","UMIC","low","Baseline","4G (F)",17192743079.04,868097.190162504,273.56462628114,22956.8290404245,11776.7399378902
"130","UMIC","low","Baseline","4G (W)",20688924954.24,1042331.50499798,326.594971945558,27390.2220767374,13996.7598049698
"131","UMIC","low","Baseline","5G (F)",12387157260.48,693506.453163784,218.460937184342,19336.6855365996,12949.4209076453
"132","UMIC","low","Baseline","5G (W)",12661680242.88,705802.139968958,222.350297170677,19652.5750744999,13079.3892287724
"133","UMIC","low","Passive","4G (F)",17192743079.04,868097.190162504,273.56462628114,22956.8290404245,11776.7399378902
"134","UMIC","low","Passive","4G (W)",20688924954.24,1042331.50499798,326.594971945558,27390.2220767374,13996.7598049698
"135","UMIC","low","Passive","5G (F)",12387157260.48,693506.453163784,218.460937184342,19336.6855365996,12949.4209076453
"136","UMIC","low","Passive","5G (W)",12661680242.88,705802.139968958,222.350297170677,19652.5750744999,13079.3892287724
"137","UMIC","low","Active","4G (F)",10960294752,559474.71857396,180.47947200866,15035.7971603928,7396.50228184644
"138","UMIC","low","Active","4G (W)",13525618003.2,689745.174089208,222.536982243705,18527.5432563104,9077.61283201714
